"gid","gid-2","dist"
5352,3851,"3823.2734480052654"
5353,3851,"3829.8210607003057"
5354,3851,"3837.095839623885"
5355,3851,"3847.5077801920484"
5356,3851,"3842.3621820790813"
5357,3851,"3847.679035561567"
5358,3851,"3791.588908866062"
5359,3851,"3789.6129629277334"
5360,3851,"3810.9401091541827"
5361,3851,"3842.961706550951"
5362,3851,"3816.4208769769325"
5363,3851,"3783.3835539593224"
5364,3851,"3783.2398847405225"
5365,3851,"3804.5669077850503"
5366,3851,"3884.9544913846344"
5367,3851,"3815.1718429766174"
5368,3851,"3855.120354643423"
5369,3558,"631.5137983051358"
5370,3558,"1058.2001348605606"
5371,3558,"1097.0148880538707"
5372,3558,"581.6436391984424"
5373,3558,"674.3239166538777"
5374,3558,"699.5373684815494"
5375,3558,"684.1175782587653"
5376,3558,"691.4073092069742"
5377,3558,"672.0798837546315"
5378,3558,"614.3024578308697"
5379,4076,"139.66363467248866"
5380,4076,"91.81946639036767"
5381,3611,"637.0193635040566"
5382,4076,"212.8213290105517"
5383,3426,"931.5399823533486"
5384,3993,"3277.7224104327306"
5385,4035,"975.1330728352486"
5386,3611,"715.0660799747982"
5387,3611,"601.5853145439578"
5388,3611,"746.6080131358877"
5389,3611,"499.0470692004314"
5390,3611,"387.97017649081636"
5391,3611,"319.1674583551488"
5392,3611,"153.9908080117668"
5393,3611,"846.1277201990879"
5394,3611,"806.2374370616179"
5395,3851,"3809.9506155199874"
5396,3851,"3819.932384674238"
5397,3851,"3822.2122465191605"
5398,3851,"3835.305461175183"
5399,3851,"3786.7836851039892"
5400,3851,"3836.4510790900167"
5401,3851,"3838.5766566784678"
5402,3851,"3805.6780742690216"
5403,3851,"3808.9829797654065"
5404,3851,"3809.316035361531"
5405,2643,"476.6576304897228"
5406,3851,"3848.3561845520194"
5407,3851,"3862.4336205971417"
5408,3851,"3865.9309654880076"
5409,3851,"3867.131624759719"
5410,3851,"3870.457708098502"
5411,3851,"3881.203720098392"
5412,3851,"3864.2649315930958"
5413,3851,"3850.7764560334126"
5414,3851,"3842.6091883659346"
5415,3851,"3827.235137902123"
5416,3851,"3826.8140761735995"
5417,3851,"3805.4860629217224"
5418,3851,"3819.684514338289"
5419,3851,"3808.4688498169803"
5420,3851,"3815.038478733417"
5421,3851,"3823.3526333100094"
5422,3851,"3828.251416882468"
5423,3851,"3832.994219352343"
5424,3851,"3787.7261715060827"
5425,3851,"3791.566858192895"
5426,3851,"3772.6314518467993"
5427,3851,"3772.4610693895434"
5428,3851,"3799.633646959027"
5429,3851,"3777.9535032066397"
5430,3851,"3798.2984780964966"
5431,3851,"3798.910760838664"
5432,3851,"3829.734825771742"
5433,3851,"3831.516347970593"
5434,3851,"3841.7909533860093"
5435,3851,"3788.422214045566"
5436,3851,"3786.1779162257512"
5437,3851,"3780.135029524244"
5438,3851,"3786.8503417549036"
5439,3851,"3790.0055062125743"
5440,3851,"3801.65630148534"
5441,3851,"3800.7747900099766"
5442,3851,"3794.836174751071"
5443,3851,"3803.5102912154316"
5444,3851,"3805.4081163486226"
5445,3851,"3779.1604090927513"
5446,3851,"3780.670776319178"
5447,3851,"3795.030581256691"
5448,2942,"873.9800662309414"
5449,3286,"723.4303728361906"
5450,3286,"729.5159023112693"
5451,3286,"630.3210989789306"
5452,3286,"780.6647663979968"
5453,3286,"733.2538541781463"
5454,3286,"646.3266454775602"
5455,3286,"693.7846898845925"
5456,3286,"752.4743730490567"
5457,3286,"731.5344194478229"
5458,3286,"626.2969849517922"
5459,3286,"658.4262035936059"
5460,3286,"632.0999120056525"
5461,3286,"694.251826832397"
5462,3286,"767.2974348131851"
5463,3286,"635.2119301679473"
5464,3286,"739.8070324733586"
5465,3286,"648.3136722311184"
5466,3286,"648.0688023417418"
5467,3286,"720.5428987465187"
5468,3286,"620.0030101717488"
5469,3286,"626.077373474225"
5470,3286,"722.9477067517935"
5471,3286,"622.4044367976962"
5472,3286,"625.8631915522817"
5473,3286,"625.741190082334"
5474,3286,"618.2409253196881"
5475,3286,"605.7127551067186"
5476,3286,"682.6526415138577"
5477,3286,"729.3622210678842"
5478,3286,"721.9675304855339"
5479,3286,"669.3908472747231"
5480,3286,"680.1060659284785"
5481,3286,"682.3258636127981"
5482,3286,"691.8524772480247"
5483,3286,"669.6815475046062"
5484,3286,"721.472210138783"
5485,3286,"729.6358253451236"
5486,3286,"726.4142503996371"
5487,3286,"595.9124441401535"
5488,3286,"609.0319249179755"
5489,3286,"637.2025654081366"
5490,3286,"654.7929920007523"
5491,3286,"640.3982919650305"
5492,3286,"649.657930819027"
5493,3286,"645.0735098527985"
5494,3286,"633.2789213479998"
5495,3286,"726.8139784647361"
